post_id,text,sentiment
1,I love this new phone 😍! The camera quality is amazing! https://techsite.com,positive
2,Worst customer service ever!! 😡 #frustrated,negative
3,"Just got my order delivered... it's okay, not great, not terrible.",neutral
4,Check out my new blog post 👉 www.myblog.com/travel,neutral
5,I'm so happy with the results! Totally worth it!!,positive
6,This update ruined the app 😤 now it crashes every time!!,negative
7,Had a wonderful weekend with friends ❤️,positive
8,I don't know how to feel about this 🤔,neutral
9,@brand your service is pathetic 😠 will never buy again!,negative
10,Absolutely love the new design and performance!,positive
